master_account_name
ANDCO
AP Moller - Maersk
AWR
Accelleron / IMIND Consulting
Accenture
Actio Consultancy Group
Addtech AB
Alvarez and Marsal
Amazon
American foods
ArcelorMittal
Axel Johnson International
BM Holdings
Becton Dickinson and Company
Berry Global Group / Amcor
Blackstone Inc. (Private Equity / Asset Management)
Brenntag
CCAD
CIL Management Consultants
Canvas8 (UK)
"Church & Dwight Co., Inc."
CircleK
Copeland
Croda International plc
Cushman & Wakefield
Decathlon
DeciBio Consulting
Deere & Company (John Deere; AgTech)
DoehlerGroup
ECOM Agroindustrial Corp
ELM
Elica
Elsewedy Electric
Ergo Strategy (Australia)
Ergomed
European Commission (Europa)
Fedex
First Bridge Investments
FirstKindMedical
GF
GMR
Genesis Analytics (South Africa)
GoodyCo (Saudi Goody Products Marketing)
Grant Thornton Advisors (Stax)
Halwani Bros Co.
IFF
Indorama Corp
Indutrade AB
KKR & Co. Inc. (Global Private Equity)
Kearney (formerly A.T. Kearney)
L'Oreal S.A. (FMCG)
LTTS
Lagercrantz Group
Lazard Group
Lifco AB
Livoo Research
Mansour Group (Egypt)
Maruti
Michelin
NEOM
National Centre for Additive Manufacturing
Navin Fluorine International Limited
OC&C Strategy Consultants
Olam Group
"Oliver Wyman, LLC (Consulting)"
Pigeon Corporation (Japan)
Premji Invest (India)
Pure insights/pure consulting
SIDF
Sandoz Group AG
Simon Kucher
Sixthfactor
Sodexo S.A.
Spirax Group plc
Starlink Qatar
Sumitomo Group
Symrise AG
Syngene Intl
Syngenta Group (AgChem/Science)
TKH Group
TVS Group
Tetra Pak
The Foundation - The Customer-Led Growth Consultancy
Valmont Industries
Valsoft Corporation
